state,station,fiscal_year,note,value,station_name,group,subgroup
Alabama,"Tuscaloosa, Alabama",2021,,3720.0,Tuscaloosa,Alabama,Tuscaloosa
Alabama,"Birmingham, Alabama",2021,,14935.0,Birmingham,Alabama,Birmingham
Alabama,"Anniston, Alabama",2021,,1948.0,Anniston,Alabama,Anniston
Arizona,"Winslow, Arizona",2021,,1773.0,Winslow,Arizona,Winslow
Arizona,"Tucson, Arizona",2021,,14567.0,Tucson,Arizona,Tucson
Arizona,"Maricopa, Arizona",2021,,8251.0,Maricopa,Arizona,Maricopa
Arizona,"Kingman, Arizona",2021,,4567.0,Kingman,Arizona,Kingman
Arizona,"Flagstaff, Arizona",2021,,16693.0,Flagstaff,Arizona,Flagstaff
Arizona,"Benson, Arizona",2021,,1224.0,Benson,Arizona,Benson
Arkansas,"Walnut Ridge, Arkansas",2021,,1565.0,Walnut Ridge,Arkansas,Walnut Ridge
Arkansas,"Texarkana, Arkansas",2021,,3135.0,Texarkana,Arkansas,Texarkana
Arkansas,"Malvern, Arkansas",2021,,878.0,Malvern,Arkansas,Malvern
Arkansas,"Little Rock, Arkansas",2021,,8439.0,Little Rock,Arkansas,Little Rock
Arkansas,"Hope, Arkansas",2021,,779.0,Hope,Arkansas,Hope
Arkansas,"Arkadelphia, Arkansas",2021,,587.0,Arkadelphia,Arkansas,Arkadelphia
California,"Wasco, California",2021,,13916.0,Wasco,California,Wasco
California,"Victorville, California",2021,,2584.0,Victorville,California,Victorville
California,"Ventura, California",2021,,23357.0,Ventura,California,Ventura
California,"Van Nuys, California",2021,,22171.0,Van Nuys,California,Van Nuys
California,"Turlock-Denair, California",2021,,12378.0,Turlock-Denair,California,Turlock-Denair
California,"Truckee, California",2021,,5747.0,Truckee,California,Truckee
California,"Suisun-Fairfield, California",2021,,30771.0,Suisun-Fairfield,California,Suisun-Fairfield
California,"Stockton (San Joaquin St.), California",2021,,156622.0,Stockton (San Joaquin St.),California,Stockton (San Joaquin St.)
California,"Stockton (Downtown), California",2021,,1.0,Stockton (Downtown),California,Stockton (Downtown)
California,"Solana Beach, California",2021,,94621.0,Solana Beach,California,Solana Beach
California,"Simi Valley, California",2021,,16690.0,Simi Valley,California,Simi Valley
California,"Santa Clara (University), California",2021,,6350.0,Santa Clara (University),California,Santa Clara (University)
California,"Santa Barbara, California",2021,,123317.0,Santa Barbara,California,Santa Barbara
California,"Santa Ana, California",2021,,50733.0,Santa Ana,California,Santa Ana
California,"San Luis Obispo, California",2021,,30449.0,San Luis Obispo,California,San Luis Obispo
California,"San Juan Capistrano, California",2021,,71260.0,San Juan Capistrano,California,San Juan Capistrano
California,"San Jose, California",2021,,51848.0,San Jose,California,San Jose
California,"San Diego, California",2021,,235775.0,San Diego,California,San Diego
California,"San Diego-Old Town, California",2021,,113163.0,San Diego-Old Town,California,San Diego-Old Town
California,"San Clemente Pier, California",2021,,7563.0,San Clemente Pier,California,San Clemente Pier
California,"San Bernardino, California",2021,,3883.0,San Bernardino,California,San Bernardino
California,"Salinas, California",2021,,7379.0,Salinas,California,Salinas
California,"Sacramento, California",2021,,255183.0,Sacramento,California,Sacramento
California,"Roseville, California",2021,,7976.0,Roseville,California,Roseville
California,"Rocklin, California",2021,,2113.0,Rocklin,California,Rocklin
California,"Riverside, California",2021,,4926.0,Riverside,California,Riverside
California,"Richmond, California",2021,,60116.0,Richmond,California,Richmond
California,"Redding, California",2021,,4382.0,Redding,California,Redding
California,"Pomona, California",2021,,1052.0,Pomona,California,Pomona
California,"Paso Robles, California",2021,,3923.0,Paso Robles,California,Paso Robles
California,"Palm Springs, California",2021,,1171.0,Palm Springs,California,Palm Springs
