state,station,fiscal_year,note,value,station_name,group,subgroup
Alabama,"Tuscaloosa, Alabama",2020,,4871.0,Tuscaloosa,Alabama,Tuscaloosa
Alabama,"Birmingham, Alabama",2020,,17474.0,Birmingham,Alabama,Birmingham
Alabama,"Anniston, Alabama",2020,,2369.0,Anniston,Alabama,Anniston
Arizona,"Yuma, Arizona",2020,,3366.0,Yuma,Arizona,Yuma
Arizona,"Winslow, Arizona",2020,,2437.0,Winslow,Arizona,Winslow
Arizona,"Tucson, Arizona",2020,,15715.0,Tucson,Arizona,Tucson
Arizona,"Maricopa, Arizona",2020,,7843.0,Maricopa,Arizona,Maricopa
Arizona,"Kingman, Arizona",2020,,5536.0,Kingman,Arizona,Kingman
Arizona,"Flagstaff, Arizona",2020,,20981.0,Flagstaff,Arizona,Flagstaff
Arizona,"Benson, Arizona",2020,,1218.0,Benson,Arizona,Benson
Arkansas,"Walnut Ridge, Arkansas",2020,,1975.0,Walnut Ridge,Arkansas,Walnut Ridge
Arkansas,"Texarkana, Arkansas",2020,,3420.0,Texarkana,Arkansas,Texarkana
Arkansas,"Malvern, Arkansas",2020,,1038.0,Malvern,Arkansas,Malvern
Arkansas,"Little Rock, Arkansas",2020,,10538.0,Little Rock,Arkansas,Little Rock
Arkansas,"Hope, Arkansas",2020,,1013.0,Hope,Arkansas,Hope
Arkansas,"Arkadelphia, Arkansas",2020,,811.0,Arkadelphia,Arkansas,Arkadelphia
California,"Wasco, California",2020,,26997.0,Wasco,California,Wasco
California,"Victorville, California",2020,,3680.0,Victorville,California,Victorville
California,"Ventura, California",2020,,41907.0,Ventura,California,Ventura
California,"Van Nuys, California",2020,,34754.0,Van Nuys,California,Van Nuys
California,"Turlock-Denair, California",2020,,18729.0,Turlock-Denair,California,Turlock-Denair
California,"Truckee, California",2020,,9138.0,Truckee,California,Truckee
California,"Suisun-Fairfield, California",2020,,70243.0,Suisun-Fairfield,California,Suisun-Fairfield
California,"Stockton (San Joaquin St.), California",2020,,183931.0,Stockton (San Joaquin St.),California,Stockton (San Joaquin St.)
California,"Stockton (Downtown), California",2020,,8818.0,Stockton (Downtown),California,Stockton (Downtown)
California,"Solana Beach, California",2020,,165202.0,Solana Beach,California,Solana Beach
California,"Simi Valley, California",2020,,23948.0,Simi Valley,California,Simi Valley
California,"Santa Clara (University), California",2020,,33870.0,Santa Clara (University),California,Santa Clara (University)
California,"Santa Barbara, California",2020,,160074.0,Santa Barbara,California,Santa Barbara
California,"Santa Ana, California",2020,,72968.0,Santa Ana,California,Santa Ana
California,"San Luis Obispo, California",2020,,48229.0,San Luis Obispo,California,San Luis Obispo
California,"San Juan Capistrano, California",2020,,90699.0,San Juan Capistrano,California,San Juan Capistrano
California,"San Jose, California",2020,,125113.0,San Jose,California,San Jose
California,"San Diego, California",2020,,319689.0,San Diego,California,San Diego
California,"San Diego-Old Town, California",2020,,174880.0,San Diego-Old Town,California,San Diego-Old Town
California,"San Clemente Pier, California",2020,,6707.0,San Clemente Pier,California,San Clemente Pier
California,"San Bernardino, California",2020,,6736.0,San Bernardino,California,San Bernardino
California,"Salinas, California",2020,,11469.0,Salinas,California,Salinas
California,"Sacramento, California",2020,,565196.0,Sacramento,California,Sacramento
California,"Roseville, California",2020,,21274.0,Roseville,California,Roseville
California,"Rocklin, California",2020,,8793.0,Rocklin,California,Rocklin
California,"Riverside, California",2020,,6706.0,Riverside,California,Riverside
California,"Richmond, California",2020,,155109.0,Richmond,California,Richmond
California,"Redding, California",2020,,7801.0,Redding,California,Redding
California,"Pomona, California",2020,,1097.0,Pomona,California,Pomona
California,"Paso Robles, California",2020,,6549.0,Paso Robles,California,Paso Robles
California,"Palm Springs, California",2020,,2217.0,Palm Springs,California,Palm Springs
California,"Oxnard, California",2020,,49530.0,Oxnard,California,Oxnard
California,"Ontario, California",2020,,2662.0,Ontario,California,Ontario
California,"Oceanside, California",2020,,142524.0,Oceanside,California,Oceanside
California,"Oakland, California",2020,,211617.0,Oakland,California,Oakland
California,"Oakland Coliseum, California",2020,,41310.0,Oakland Coliseum,California,Oakland Coliseum
California,"Needles, California",2020,,5682.0,Needles,California,Needles
California,"Moorpark, California",2020,,7686.0,Moorpark,California,Moorpark
California,"Modesto, California",2020,,70147.0,Modesto,California,Modesto
California,"Merced, California",2020,,78318.0,Merced,California,Merced
California,"Martinez, California",2020,,197953.0,Martinez,California,Martinez
California,"Madera, California",2020,,16854.0,Madera,California,Madera
California,"Los Angeles, California",2020,,708925.0,Los Angeles,California,Los Angeles
California,"Lompoc-Surf, California",2020,,5093.0,Lompoc-Surf,California,Lompoc-Surf
California,"Lodi, California",2020,,4639.0,Lodi,California,Lodi
California,"Irvine, California",2020,,184298.0,Irvine,California,Irvine
California,"Hayward, California",2020,,38591.0,Hayward,California,Hayward
California,"Hanford, California",2020,,93645.0,Hanford,California,Hanford
California,"Guadalupe-Santa Maria, California",2020,,5929.0,Guadalupe-Santa Maria,California,Guadalupe-Santa Maria
California,"Grover Beach, California",2020,,8815.0,Grover Beach,California,Grover Beach
California,"Great America (Santa Clara), California",2020,,100196.0,Great America (Santa Clara),California,Great America (Santa Clara)
California,"Goleta, California",2020,,57055.0,Goleta,California,Goleta
California,"Glendale, California",2020,,22226.0,Glendale,California,Glendale
California,"Fullerton, California",2020,,129611.0,Fullerton,California,Fullerton
California,"Fresno, California",2020,,194144.0,Fresno,California,Fresno
California,"Fremont, California",2020,,23234.0,Fremont,California,Fremont
California,"Fairfield-Vacaville, California",2020,,61003.0,Fairfield-Vacaville,California,Fairfield-Vacaville
California,"Emeryville, California",2020,,279498.0,Emeryville,California,Emeryville
California,"Dunsmuir, California",2020,,3680.0,Dunsmuir,California,Dunsmuir
California,"Davis, California",2020,,194029.0,Davis,California,Davis
California,"Corcoran, California",2020,,17610.0,Corcoran,California,Corcoran
California,"Colfax, California",2020,,3370.0,Colfax,California,Colfax
California,"Chico, California",2020,,7544.0,Chico,California,Chico
