state,station,fiscal_year,note,value,station_name,group,subgroup
Alabama,"Tuscaloosa, Alabama",2016,,10594.0,Tuscaloosa,Alabama,Tuscaloosa
Alabama,"Birmingham, Alabama",2016,,42930.0,Birmingham,Alabama,Birmingham
Alabama,"Anniston, Alabama",2016,,4871.0,Anniston,Alabama,Anniston
Arizona,"Yuma, Arizona",2016,,4576.0,Yuma,Arizona,Yuma
Arizona,"Winslow, Arizona",2016,,4481.0,Winslow,Arizona,Winslow
Arizona,"Williams Junction, Arizona",2016,,8051.0,Williams Junction,Arizona,Williams Junction
Arizona,"Tucson, Arizona",2016,,27301.0,Tucson,Arizona,Tucson
Arizona,"Maricopa, Arizona",2016,,11250.0,Maricopa,Arizona,Maricopa
Arizona,"Kingman, Arizona",2016,,9904.0,Kingman,Arizona,Kingman
Arizona,"Flagstaff, Arizona",2016,,41053.0,Flagstaff,Arizona,Flagstaff
Arizona,"Benson, Arizona",2016,,2013.0,Benson,Arizona,Benson
Arkansas,"Walnut Ridge, Arkansas",2016,,3345.0,Walnut Ridge,Arkansas,Walnut Ridge
Arkansas,"Texarkana, Arkansas",2016,,6207.0,Texarkana,Arkansas,Texarkana
Arkansas,"Malvern, Arkansas",2016,,1729.0,Malvern,Arkansas,Malvern
Arkansas,"Little Rock, Arkansas",2016,,18333.0,Little Rock,Arkansas,Little Rock
Arkansas,"Hope, Arkansas",2016,,1608.0,Hope,Arkansas,Hope
Arkansas,"Arkadelphia, Arkansas",2016,,1177.0,Arkadelphia,Arkansas,Arkadelphia
California,"Moreno Valley, California",2016,"Riverside, California",12287.0,Moreno Valley,California,Moreno Valley
California,"Wasco, California",2016,,41424.0,Wasco,California,Wasco
California,"Victorville, California",2016,,6664.0,Victorville,California,Victorville
California,"Ventura, California",2016,,65328.0,Ventura,California,Ventura
California,"Van Nuys, California",2016,,80405.0,Van Nuys,California,Van Nuys
California,"Turlock-Denair, California",2016,,29197.0,Turlock-Denair,California,Turlock-Denair
California,"Truckee, California",2016,,14675.0,Truckee,California,Truckee
California,"Suisun-Fairfield, California",2016,,167994.0,Suisun-Fairfield,California,Suisun-Fairfield
California,"Stockton (San Joaquin St.), California",2016,,283213.0,Stockton (San Joaquin St.),California,Stockton (San Joaquin St.)
California,"Stockton (Downtown), California",2016,,37916.0,Stockton (Downtown),California,Stockton (Downtown)
California,"Sorrento Valley, California",2016,,20720.0,Sorrento Valley,California,Sorrento Valley
California,"Solana Beach, California",2016,,396157.0,Solana Beach,California,Solana Beach
California,"Simi Valley, California",2016,,51049.0,Simi Valley,California,Simi Valley
California,"Santa Clara (University), California",2016,,42644.0,Santa Clara (University),California,Santa Clara (University)
California,"Santa Barbara, California",2016,,338069.0,Santa Barbara,California,Santa Barbara
California,"Santa Ana, California",2016,,191716.0,Santa Ana,California,Santa Ana
California,"San Luis Obispo, California",2016,,107778.0,San Luis Obispo,California,San Luis Obispo
California,"San Juan Capistrano, California",2016,,229408.0,San Juan Capistrano,California,San Juan Capistrano
California,"San Jose, California",2016,,223055.0,San Jose,California,San Jose
California,"San Diego, California",2016,,777352.0,San Diego,California,San Diego
California,"San Diego-Old Town, California",2016,,267481.0,San Diego-Old Town,California,San Diego-Old Town
California,"San Clemente Pier, California",2016,,15396.0,San Clemente Pier,California,San Clemente Pier
California,"San Bernardino, California",2016,,11579.0,San Bernardino,California,San Bernardino
California,"Salinas, California",2016,,21498.0,Salinas,California,Salinas
California,"Sacramento, California",2016,,1051001.0,Sacramento,California,Sacramento
California,"Roseville, California",2016,,39409.0,Roseville,California,Roseville
California,"Rocklin, California",2016,,16403.0,Rocklin,California,Rocklin
California,"Richmond, California",2016,,269838.0,Richmond,California,Richmond
California,"Redding, California",2016,,11208.0,Redding,California,Redding
California,"Pomona, California",2016,,1716.0,Pomona,California,Pomona
California,"Paso Robles, California",2016,,12037.0,Paso Robles,California,Paso Robles
California,"Palm Springs, California",2016,,3042.0,Palm Springs,California,Palm Springs
California,"Oxnard, California",2016,,92805.0,Oxnard,California,Oxnard
California,"Ontario, California",2016,,4864.0,Ontario,California,Ontario
California,"Oceanside, California",2016,,416021.0,Oceanside,California,Oceanside
California,"Oakland, California",2016,,344112.0,Oakland,California,Oakland
California,"Oakland Coliseum, California",2016,,70520.0,Oakland Coliseum,California,Oakland Coliseum
California,"Needles, California",2016,,8017.0,Needles,California,Needles
California,"Moorpark, California",2016,,21726.0,Moorpark,California,Moorpark
California,"Modesto, California",2016,,117422.0,Modesto,California,Modesto
California,"Merced, California",2016,,121137.0,Merced,California,Merced
California,"Martinez, California",2016,,364372.0,Martinez,California,Martinez
California,"Madera, California",2016,,27136.0,Madera,California,Madera
California,"Los Angeles, California",2016,,1635039.0,Los Angeles,California,Los Angeles
California,"Lompoc-Surf, California",2016,,7921.0,Lompoc-Surf,California,Lompoc-Surf
California,"Lodi, California",2016,,8617.0,Lodi,California,Lodi
California,"Irvine, California",2016,,450732.0,Irvine,California,Irvine
California,"Hayward, California",2016,,47351.0,Hayward,California,Hayward
California,"Hanford, California",2016,,201098.0,Hanford,California,Hanford
