state,station,fiscal_year,note,value,station_name,group,subgroup
Alabama,"Tuscaloosa, Alabama",2025,,10726.0,Tuscaloosa,Alabama,Tuscaloosa
Alabama,"Mobile, Alabama",2025,,12356.0,Mobile,Alabama,Mobile
Alabama,"Birmingham, Alabama",2025,,39492.0,Birmingham,Alabama,Birmingham
Alabama,"Anniston, Alabama",2025,,4338.0,Anniston,Alabama,Anniston
Arizona,"Yuma, Arizona",2025,,4722.0,Yuma,Arizona,Yuma
Arizona,"Winslow, Arizona",2025,,3769.0,Winslow,Arizona,Winslow
Arizona,"Tucson, Arizona",2025,,25261.0,Tucson,Arizona,Tucson
Arizona,"Maricopa, Arizona",2025,,14830.0,Maricopa,Arizona,Maricopa
Arizona,"Kingman, Arizona",2025,,9776.0,Kingman,Arizona,Kingman
Arizona,"Flagstaff, Arizona",2025,,31694.0,Flagstaff,Arizona,Flagstaff
Arizona,"Benson, Arizona",2025,,2196.0,Benson,Arizona,Benson
Arkansas,"Walnut Ridge, Arkansas",2025,,4259.0,Walnut Ridge,Arkansas,Walnut Ridge
Arkansas,"Texarkana, Arkansas",2025,,7037.0,Texarkana,Arkansas,Texarkana
Arkansas,"Malvern, Arkansas",2025,,2007.0,Malvern,Arkansas,Malvern
Arkansas,"Little Rock, Arkansas",2025,,25432.0,Little Rock,Arkansas,Little Rock
Arkansas,"Hope, Arkansas",2025,,1767.0,Hope,Arkansas,Hope
Arkansas,"Arkadelphia, Arkansas",2025,,1292.0,Arkadelphia,Arkansas,Arkadelphia
California,"Wasco, California",2025,,23549.0,Wasco,California,Wasco
California,"Victorville, California",2025,,7228.0,Victorville,California,Victorville
California,"Ventura, California",2025,,79936.0,Ventura,California,Ventura
California,"Van Nuys, California",2025,,67885.0,Van Nuys,California,Van Nuys
California,"Turlock-Denair, California",2025,,31978.0,Turlock-Denair,California,Turlock-Denair
California,"Truckee, California",2025,,16496.0,Truckee,California,Truckee
California,"Suisun-Fairfield, California",2025,,65360.0,Suisun-Fairfield,California,Suisun-Fairfield
California,"Stockton (San Joaquin St.), California",2025,,274640.0,Stockton (San Joaquin St.),California,Stockton (San Joaquin St.)
California,"Stockton (Downtown), California",2025,,5094.0,Stockton (Downtown),California,Stockton (Downtown)
California,"Solana Beach, California",2025,,202986.0,Solana Beach,California,Solana Beach
California,"Simi Valley, California",2025,,40003.0,Simi Valley,California,Simi Valley
California,"Santa Clara (University), California",2025,,40932.0,Santa Clara (University),California,Santa Clara (University)
California,"Santa Clara (Great America), California",2025,,83287.0,Santa Clara (Great America),California,Santa Clara (Great America)
California,"Santa Barbara, California",2025,,339569.0,Santa Barbara,California,Santa Barbara
California,"Santa Ana, California",2025,,109990.0,Santa Ana,California,Santa Ana
California,"San Luis Obispo, California",2025,,91556.0,San Luis Obispo,California,San Luis Obispo
California,"San Juan Capistrano, California",2025,,162211.0,San Juan Capistrano,California,San Juan Capistrano
California,"San Jose, California",2025,,156081.0,San Jose,California,San Jose
California,"San Diego, California",2025,,489962.0,San Diego,California,San Diego
California,"San Diego-Old Town, California",2025,,308805.0,San Diego-Old Town,California,San Diego-Old Town
California,"San Clemente Pier, California",2025,,16486.0,San Clemente Pier,California,San Clemente Pier
California,"San Bernardino, California",2025,,9576.0,San Bernardino,California,San Bernardino
California,"Salinas, California",2025,,20833.0,Salinas,California,Salinas
California,"Sacramento, California",2025,,764100.0,Sacramento,California,Sacramento
California,"Roseville, California",2025,,37157.0,Roseville,California,Roseville
California,"Rocklin, California",2025,,8912.0,Rocklin,California,Rocklin
California,"Riverside, California",2025,,9468.0,Riverside,California,Riverside
California,"Richmond, California",2025,,202257.0,Richmond,California,Richmond
California,"Redding, California",2025,,8505.0,Redding,California,Redding
California,"Pomona, California",2025,,1434.0,Pomona,California,Pomona
California,"Paso Robles, California",2025,,9510.0,Paso Robles,California,Paso Robles
California,"Palm Springs, California",2025,,1688.0,Palm Springs,California,Palm Springs
California,"Oxnard, California",2025,,92195.0,Oxnard,California,Oxnard
California,"Ontario, California",2025,,4884.0,Ontario,California,Ontario
California,"Oceanside, California",2025,,211534.0,Oceanside,California,Oceanside
California,"Oakland, California",2025,,246499.0,Oakland,California,Oakland
California,"Oakland Coliseum, California",2025,,24285.0,Oakland Coliseum,California,Oakland Coliseum
California,"Northridge, California",2025,,24364.0,Northridge,California,Northridge
California,"Needles, California",2025,,7395.0,Needles,California,Needles
California,"Moorpark, California",2025,,37744.0,Moorpark,California,Moorpark
California,"Modesto, California",2025,,105596.0,Modesto,California,Modesto
California,"Merced, California",2025,,135210.0,Merced,California,Merced
California,"Martinez, California",2025,,267797.0,Martinez,California,Martinez
California,"Madera, California",2025,,25476.0,Madera,California,Madera
California,"Los Angeles, California",2025,,1066614.0,Los Angeles,California,Los Angeles
California,"Lompoc-Surf, California",2025,,9625.0,Lompoc-Surf,California,Lompoc-Surf
California,"Lodi, California",2025,,2769.0,Lodi,California,Lodi
California,"Irvine, California",2025,,244373.0,Irvine,California,Irvine
California,"Hayward, California",2025,,36948.0,Hayward,California,Hayward
California,"Hanford, California",2025,,121136.0,Hanford,California,Hanford
California,"Guadalupe-Santa Maria, California",2025,,12287.0,Guadalupe-Santa Maria,California,Guadalupe-Santa Maria
California,"Grover Beach, California",2025,,14563.0,Grover Beach,California,Grover Beach
California,"Goleta, California",2025,,86988.0,Goleta,California,Goleta
California,"Glendale, California",2025,,53489.0,Glendale,California,Glendale
California,"Fullerton, California",2025,,240141.0,Fullerton,California,Fullerton
California,"Fresno, California",2025,,302753.0,Fresno,California,Fresno
California,"Fremont, California",2025,,32781.0,Fremont,California,Fremont
California,"Fairfield-Vacaville, California",2025,,74502.0,Fairfield-Vacaville,California,Fairfield-Vacaville
California,"Emeryville, California",2025,,444451.0,Emeryville,California,Emeryville
California,"Dunsmuir, California",2025,,3794.0,Dunsmuir,California,Dunsmuir
California,"Davis, California",2025,,275354.0,Davis,California,Davis
California,"Corcoran, California",2025,,21981.0,Corcoran,California,Corcoran
California,"Colfax, California",2025,,6615.0,Colfax,California,Colfax
California,"Col. Allensworth Park, California",2025,,1651.0,Col. Allensworth Park,California,Col. Allensworth Park
California,"Chico, California",2025,,9749.0,Chico,California,Chico
California,"Chatsworth, California",2025,,58788.0,Chatsworth,California,Chatsworth
California,"Carpinteria, California",2025,,27105.0,Carpinteria,California,Carpinteria
California,"Camarillo, California",2025,,52904.0,Camarillo,California,Camarillo
California,"Burbank, California",2025,,10852.0,Burbank,California,Burbank
California,"Burbank Airport, California",2025,,57923.0,Burbank Airport,California,Burbank Airport
California,"Berkeley, California",2025,,99353.0,Berkeley,California,Berkeley
California,"Barstow, California",2025,,3300.0,Barstow,California,Barstow
California,"Bakersfield, California",2025,,376353.0,Bakersfield,California,Bakersfield
California,"Auburn, California",2025,,9348.0,Auburn,California,Auburn
California,"Antioch-Pittsburg, California",2025,,35667.0,Antioch-Pittsburg,California,Antioch-Pittsburg
California,"Anaheim, California",2025,,207870.0,Anaheim,California,Anaheim
Colorado,"Winter Park-Fraser, Colorado",2025,,12525.0,Winter Park-Fraser,Colorado,Winter Park-Fraser
Colorado,"Winter Park Resort (seasonal), Colorado",2025,,41134.0,Winter Park Resort (seasonal),Colorado,Winter Park Resort (seasonal)
Colorado,"Trinidad, Colorado",2025,,6917.0,Trinidad,Colorado,Trinidad
Colorado,"Lamar, Colorado",2025,,1406.0,Lamar,Colorado,Lamar
Colorado,"La Junta, Colorado",2025,,6247.0,La Junta,Colorado,La Junta
Colorado,"Grand Junction, Colorado",2025,,27402.0,Grand Junction,Colorado,Grand Junction
Colorado,"Granby, Colorado",2025,,3682.0,Granby,Colorado,Granby
Colorado,"Glenwood Springs, Colorado",2025,,42841.0,Glenwood Springs,Colorado,Glenwood Springs
Colorado,"Fort Morgan, Colorado",2025,,3623.0,Fort Morgan,Colorado,Fort Morgan
Colorado,"Denver, Colorado",2025,,151915.0,Denver,Colorado,Denver
Connecticut,"Windsor, Connecticut",2025,,21054.0,Windsor,Connecticut,Windsor
Connecticut,"Windsor Locks, Connecticut",2025,,32655.0,Windsor Locks,Connecticut,Windsor Locks
Connecticut,"Wallingford, Connecticut",2025,,12605.0,Wallingford,Connecticut,Wallingford
Connecticut,"Stamford, Connecticut",2025,,398958.0,Stamford,Connecticut,Stamford
Connecticut,"Old Saybrook, Connecticut",2025,,87196.0,Old Saybrook,Connecticut,Old Saybrook
Connecticut,"New London, Connecticut",2025,,179876.0,New London,Connecticut,New London
Connecticut,"New Haven, Connecticut",2025,,853267.0,New Haven,Connecticut,New Haven
Connecticut,"New Haven State Street, Connecticut",2025,,20695.0,New Haven State Street,Connecticut,New Haven State Street
