state,station,fiscal_year,note,value,station_name,group,subgroup
Alabama,"Tuscaloosa, Alabama",2012,,12290.0,Tuscaloosa,Alabama,Tuscaloosa
Alabama,"Birmingham, Alabama",2012,,48734.0,Birmingham,Alabama,Birmingham
Alabama,"Anniston, Alabama",2012,,6209.0,Anniston,Alabama,Anniston
Arizona,"Yuma, Arizona",2012,,4011.0,Yuma,Arizona,Yuma
Arizona,"Winslow, Arizona",2012,,5034.0,Winslow,Arizona,Winslow
Arizona,"Williams Junction, Arizona",2012,,7487.0,Williams Junction,Arizona,Williams Junction
Arizona,"Tucson, Arizona",2012,,23896.0,Tucson,Arizona,Tucson
Arizona,"Maricopa, Arizona",2012,,10804.0,Maricopa,Arizona,Maricopa
Arizona,"Kingman, Arizona",2012,,10768.0,Kingman,Arizona,Kingman
Arizona,"Flagstaff, Arizona",2012,,41014.0,Flagstaff,Arizona,Flagstaff
Arizona,"Benson, Arizona",2012,,1367.0,Benson,Arizona,Benson
Arkansas,"Walnut Ridge, Arkansas",2012,,4766.0,Walnut Ridge,Arkansas,Walnut Ridge
Arkansas,"Texarkana, Arkansas",2012,,8849.0,Texarkana,Arkansas,Texarkana
Arkansas,"Malvern, Arkansas",2012,,2105.0,Malvern,Arkansas,Malvern
Arkansas,"Little Rock, Arkansas",2012,,24036.0,Little Rock,Arkansas,Little Rock
Arkansas,"Arkadelphia, Arkansas",2012,,1602.0,Arkadelphia,Arkansas,Arkadelphia
California,"Wasco, California",2012,,21117.0,Wasco,California,Wasco
California,"Victorville, California",2012,,6764.0,Victorville,California,Victorville
California,"Ventura, California",2012,,47482.0,Ventura,California,Ventura
California,"Van Nuys, California",2012,,73665.0,Van Nuys,California,Van Nuys
California,"Turlock-Denair, California",2012,,25308.0,Turlock-Denair,California,Turlock-Denair
California,"Truckee, California",2012,,9450.0,Truckee,California,Truckee
California,"Suisun-Fairfield, California",2012,,200402.0,Suisun-Fairfield,California,Suisun-Fairfield
California,"Stockton (San Joaquin St.), California",2012,,277926.0,Stockton (San Joaquin St.),California,Stockton (San Joaquin St.)
California,"Stockton (Downtown), California",2012,,40056.0,Stockton (Downtown),California,Stockton (Downtown)
California,"Solana Beach, California",2012,,421614.0,Solana Beach,California,Solana Beach
California,"Simi Valley, California",2012,,40697.0,Simi Valley,California,Simi Valley
California,"Santa Clara (University), California",2012,,1633.0,Santa Clara (University),California,Santa Clara (University)
California,"Santa Barbara, California",2012,,304382.0,Santa Barbara,California,Santa Barbara
California,"Santa Ana, California",2012,,201842.0,Santa Ana,California,Santa Ana
California,"San Luis Obispo, California",2012,,108439.0,San Luis Obispo,California,San Luis Obispo
California,"San Juan Capistrano, California",2012,,244992.0,San Juan Capistrano,California,San Juan Capistrano
California,"San Jose, California",2012,,234767.0,San Jose,California,San Jose
California,"San Diego, California",2012,,708934.0,San Diego,California,San Diego
California,"San Diego-Old Town, California",2012,,61188.0,San Diego-Old Town,California,San Diego-Old Town
California,"San Clemente Pier, California",2012,,9912.0,San Clemente Pier,California,San Clemente Pier
California,"San Bernardino, California",2012,,11554.0,San Bernardino,California,San Bernardino
California,"Salinas, California",2012,,19879.0,Salinas,California,Salinas
California,"Sacramento, California",2012,,1186958.0,Sacramento,California,Sacramento
California,"Roseville, California",2012,,62233.0,Roseville,California,Roseville
California,"Rocklin, California",2012,,32993.0,Rocklin,California,Rocklin
California,"Richmond, California",2012,,281999.0,Richmond,California,Richmond
California,"Redding, California",2012,,12059.0,Redding,California,Redding
California,"Pomona, California",2012,,1614.0,Pomona,California,Pomona
California,"Paso Robles, California",2012,,11728.0,Paso Robles,California,Paso Robles
California,"Palm Springs, California",2012,,4945.0,Palm Springs,California,Palm Springs
California,"Oxnard, California",2012,,81231.0,Oxnard,California,Oxnard
California,"Ontario, California",2012,,5185.0,Ontario,California,Ontario
California,"Oceanside, California",2012,,344562.0,Oceanside,California,Oceanside
California,"Oakland, California",2012,,416800.0,Oakland,California,Oakland
California,"Oakland Coliseum, California",2012,,26272.0,Oakland Coliseum,California,Oakland Coliseum
California,"Needles, California",2012,,9118.0,Needles,California,Needles
California,"Moreno Valley, California",2012,,12197.0,Moreno Valley,California,Moreno Valley
California,"Moorpark, California",2012,,14431.0,Moorpark,California,Moorpark
California,"Modesto, California",2012,,118226.0,Modesto,California,Modesto
California,"Metrolink Station Orange, California 92866",2012,,2302.0,Metrolink Station Orange,California,Metrolink Station Orange
California,"Merced, California",2012,,125316.0,Merced,California,Merced
California,"Martinez, California",2012,,475909.0,Martinez,California,Martinez
California,"Madera, California",2012,,24770.0,Madera,California,Madera
California,"Los Angeles, California",2012,,1657446.0,Los Angeles,California,Los Angeles
California,"Lompoc-Surf, California",2012,,7096.0,Lompoc-Surf,California,Lompoc-Surf
California,"Lodi, California",2012,,8439.0,Lodi,California,Lodi
California,"Laguna Niguel, California",2012,,2125.0,Laguna Niguel,California,Laguna Niguel
California,"Irvine, California",2012,,421619.0,Irvine,California,Irvine
California,"Hayward, California",2012,,35342.0,Hayward,California,Hayward
California,"Hanford, California",2012,,210682.0,Hanford,California,Hanford
California,"Guadalupe-Santa Maria, California",2012,,11250.0,Guadalupe-Santa Maria,California,Guadalupe-Santa Maria
California,"Grover Beach, California",2012,,18005.0,Grover Beach,California,Grover Beach
California,"Great America (Santa Clara), California",2012,,121246.0,Great America (Santa Clara),California,Great America (Santa Clara)
California,"Goleta, California",2012,,57033.0,Goleta,California,Goleta
California,"Glendale, California",2012,,40070.0,Glendale,California,Glendale
California,"Fullerton, California",2012,,310694.0,Fullerton,California,Fullerton
California,"Fresno, California",2012,,394074.0,Fresno,California,Fresno
California,"Fremont, California",2012,,43737.0,Fremont,California,Fremont
California,"Emeryville, California",2012,,586876.0,Emeryville,California,Emeryville
California,"Dunsmuir, California",2012,,5385.0,Dunsmuir,California,Dunsmuir
California,"Davis, California",2012,,445416.0,Davis,California,Davis
California,"Corcoran, California",2012,,29072.0,Corcoran,California,Corcoran
California,"Colfax, California",2012,,4377.0,Colfax,California,Colfax
California,"Chico, California",2012,,11009.0,Chico,California,Chico
California,"Chatsworth, California",2012,,52543.0,Chatsworth,California,Chatsworth
California,"Carpinteria, California",2012,,20587.0,Carpinteria,California,Carpinteria
California,"Camarillo, California",2012,,37393.0,Camarillo,California,Camarillo
California,"Burbank, California",2012,,47217.0,Burbank,California,Burbank
California,"Berkeley, California",2012,,152096.0,Berkeley,California,Berkeley
California,"Barstow, California",2012,,3433.0,Barstow,California,Barstow
California,"Bakersfield, California",2012,,507058.0,Bakersfield,California,Bakersfield
California,"Auburn, California",2012,,28396.0,Auburn,California,Auburn
California,"Antioch-Pittsburg, California",2012,,39001.0,Antioch-Pittsburg,California,Antioch-Pittsburg
California,"Anaheim, California",2012,,358810.0,Anaheim,California,Anaheim
Colorado,"Winter Park-Fraser, Colorado",2012,,7162.0,Winter Park-Fraser,Colorado,Winter Park-Fraser
Colorado,"Trinidad, Colorado",2012,,4770.0,Trinidad,Colorado,Trinidad
Colorado,"Lamar, Colorado",2012,,1936.0,Lamar,Colorado,Lamar
Colorado,"La Junta, Colorado",2012,,6566.0,La Junta,Colorado,La Junta
Colorado,"Grand Junction, Colorado",2012,,31999.0,Grand Junction,Colorado,Grand Junction
Colorado,"Granby, Colorado",2012,,3528.0,Granby,Colorado,Granby
Colorado,"Glenwood Springs, Colorado",2012,,33245.0,Glenwood Springs,Colorado,Glenwood Springs
Colorado,"Fort Morgan, Colorado",2012,,3343.0,Fort Morgan,Colorado,Fort Morgan
Colorado,"Denver, Colorado",2012,,113393.0,Denver,Colorado,Denver
Connecticut,"Windsor, Connecticut",2012,,11713.0,Windsor,Connecticut,Windsor
Connecticut,"Windsor Locks, Connecticut",2012,,18491.0,Windsor Locks,Connecticut,Windsor Locks
Connecticut,"Wallingford, Connecticut",2012,,18148.0,Wallingford,Connecticut,Wallingford
Connecticut,"Stamford, Connecticut",2012,,393703.0,Stamford,Connecticut,Stamford
Connecticut,"Old Saybrook, Connecticut",2012,,65315.0,Old Saybrook,Connecticut,Old Saybrook
Connecticut,"New London, Connecticut",2012,,173003.0,New London,Connecticut,New London
Connecticut,"New Haven, Connecticut",2012,,755669.0,New Haven,Connecticut,New Haven
Connecticut,"Mystic, Connecticut",2012,,25983.0,Mystic,Connecticut,Mystic
Connecticut,"Meriden, Connecticut",2012,,34483.0,Meriden,Connecticut,Meriden
Connecticut,"Hartford, Connecticut",2012,,179536.0,Hartford,Connecticut,Hartford
Connecticut,"Bridgeport, Connecticut",2012,,84446.0,Bridgeport,Connecticut,Bridgeport
Connecticut,"Berlin, Connecticut",2012,,24108.0,Berlin,Connecticut,Berlin
Delaware,"Wilmington, Delaware",2012,,737846.0,Wilmington,Delaware,Wilmington
Delaware,"Newark, Delaware",2012,,14682.0,Newark,Delaware,Newark
District of Columbia,"Washington Union Station, District of Columbia",2012,,5013991.0,Washington Union Station,District of Columbia,Washington Union Station
Florida,"Winter Park, Florida",2012,,33455.0,Winter Park,Florida,Winter Park
Florida,"Winter Haven, Florida",2012,,24565.0,Winter Haven,Florida,Winter Haven
Florida,"West Palm Beach, Florida",2012,,67992.0,West Palm Beach,Florida,West Palm Beach
Florida,"Tampa, Florida",2012,,150844.0,Tampa,Florida,Tampa
Florida,"Sebring, Florida",2012,,18202.0,Sebring,Florida,Sebring
Florida,"Sanford (Auto Train Station), Florida",2012,,264096.0,Sanford (Auto Train Station),Florida,Sanford (Auto Train Station)
Florida,"Palatka, Florida",2012,,12803.0,Palatka,Florida,Palatka
Florida,"Orlando, Florida",2012,,172502.0,Orlando,Florida,Orlando
Florida,"Okeechobee, Florida",2012,,3933.0,Okeechobee,Florida,Okeechobee
Florida,"Miami, Florida",2012,,91019.0,Miami,Florida,Miami
Florida,"Lakeland, Florida",2012,,25630.0,Lakeland,Florida,Lakeland
Florida,"Kissimmee, Florida",2012,,48521.0,Kissimmee,Florida,Kissimmee
Florida,"Jacksonville, Florida",2012,,77512.0,Jacksonville,Florida,Jacksonville
Florida,"Hollywood, Florida",2012,,38805.0,Hollywood,Florida,Hollywood
Florida,"Fort Lauderdale, Florida",2012,,56913.0,Fort Lauderdale,Florida,Fort Lauderdale
Florida,"Delray Beach, Florida",2012,,13448.0,Delray Beach,Florida,Delray Beach
Florida,"Deland, Florida",2012,,28553.0,Deland,Florida,Deland
Florida,"Deerfield Beach, Florida",2012,,32180.0,Deerfield Beach,Florida,Deerfield Beach
Georgia,"Toccoa, Georgia",2012,,4434.0,Toccoa,Georgia,Toccoa
Georgia,"Savannah, Georgia",2012,,72321.0,Savannah,Georgia,Savannah
Georgia,"Jesup, Georgia",2012,,10086.0,Jesup,Georgia,Jesup
Georgia,"Gainesville, Georgia",2012,,9387.0,Gainesville,Georgia,Gainesville
Georgia,"Atlanta, Georgia",2012,,104854.0,Atlanta,Georgia,Atlanta
Idaho,"Sandpoint, Idaho",2012,,8815.0,Sandpoint,Idaho,Sandpoint
Illinois,"Summit, Illinois",2012,,9072.0,Summit,Illinois,Summit
Illinois,"Springfield, Illinois",2012,,192216.0,Springfield,Illinois,Springfield
Illinois,"Rantoul, Illinois",2012,,4909.0,Rantoul,Illinois,Rantoul
Illinois,"Quincy, Illinois",2012,,53633.0,Quincy,Illinois,Quincy
Illinois,"Princeton, Illinois",2012,,34713.0,Princeton,Illinois,Princeton
Illinois,"Pontiac, Illinois",2012,,14429.0,Pontiac,Illinois,Pontiac
Illinois,"Plano, Illinois",2012,,6344.0,Plano,Illinois,Plano
Illinois,"Naperville, Illinois",2012,,54213.0,Naperville,Illinois,Naperville
Illinois,"Mendota, Illinois",2012,,24250.0,Mendota,Illinois,Mendota
Illinois,"Mattoon, Illinois",2012,,42011.0,Mattoon,Illinois,Mattoon
Illinois,"Macomb, Illinois",2012,,80000.0,Macomb,Illinois,Macomb
Illinois,"Lincoln, Illinois",2012,,22473.0,Lincoln,Illinois,Lincoln
Illinois,"La Grange Road, Illinois",2012,,15120.0,La Grange Road,Illinois,La Grange Road
Illinois,"Kewanee, Illinois",2012,,16504.0,Kewanee,Illinois,Kewanee
Illinois,"Kankakee, Illinois",2012,,22110.0,Kankakee,Illinois,Kankakee
Illinois,"Joliet, Illinois",2012,,63102.0,Joliet,Illinois,Joliet
Illinois,"Homewood, Illinois",2012,,43055.0,Homewood,Illinois,Homewood
Illinois,"Glenview, Illinois",2012,,71827.0,Glenview,Illinois,Glenview
Illinois,"Gilman, Illinois",2012,,2862.0,Gilman,Illinois,Gilman
Illinois,"Galesburg, Illinois",2012,,106491.0,Galesburg,Illinois,Galesburg
Illinois,"Effingham, Illinois",2012,,28530.0,Effingham,Illinois,Effingham
Illinois,"Dwight, Illinois",2012,,10184.0,Dwight,Illinois,Dwight
Illinois,"Du Quoin, Illinois",2012,,10776.0,Du Quoin,Illinois,Du Quoin
Illinois,"Chicago, Illinois",2012,,3483313.0,Chicago,Illinois,Chicago
Illinois,"Champaign-Urbana, Illinois",2012,,178353.0,Champaign-Urbana,Illinois,Champaign-Urbana
Illinois,"Centralia, Illinois",2012,,26496.0,Centralia,Illinois,Centralia
Illinois,"Carlinville, Illinois",2012,,10557.0,Carlinville,Illinois,Carlinville
Illinois,"Carbondale, Illinois",2012,,140093.0,Carbondale,Illinois,Carbondale
Illinois,"Bloomington/Normal, Illinois",2012,,239981.0,Bloomington/Normal,Illinois,Bloomington/Normal
Illinois,"Alton, Illinois",2012,,63027.0,Alton,Illinois,Alton
Indiana,"Waterloo, Indiana",2012,,24064.0,Waterloo,Indiana,Waterloo
Indiana,"South Bend, Indiana",2012,,24799.0,South Bend,Indiana,South Bend
Indiana,"Michigan City, Indiana",2012,,3293.0,Michigan City,Indiana,Michigan City
Indiana,"Lafayette, Indiana",2012,,27363.0,Lafayette,Indiana,Lafayette
Indiana,"Indianapolis, Indiana",2012,,34863.0,Indianapolis,Indiana,Indianapolis
Indiana,"Hammond-Whiting, Indiana",2012,,6411.0,Hammond-Whiting,Indiana,Hammond-Whiting
Indiana,"Elkhart, Indiana",2012,,18141.0,Elkhart,Indiana,Elkhart
Indiana,"Dyer, Indiana",2012,,2756.0,Dyer,Indiana,Dyer
Indiana,"Crawfordsville (Bus), Indiana",2012,,6003.0,Crawfordsville (Bus),Indiana,Crawfordsville (Bus)
Indiana,"Connellsville, Indiana",2012,,700.0,Connellsville,Indiana,Connellsville
Indiana,"Albany/Rensselaer, Indiana",2012,,2342.0,Albany/Rensselaer,Indiana,Albany/Rensselaer
Iowa,"Ottumwa, Iowa",2012,,11674.0,Ottumwa,Iowa,Ottumwa
Iowa,"Osceola, Iowa",2012,,14681.0,Osceola,Iowa,Osceola
Iowa,"Mt. Pleasant, Iowa",2012,,13634.0,Mt. Pleasant,Iowa,Mt. Pleasant
Iowa,"Fort Madison, Iowa",2012,,7003.0,Fort Madison,Iowa,Fort Madison
Iowa,"Creston, Iowa",2012,,4531.0,Creston,Iowa,Creston
Iowa,"Burlington, Iowa",2012,,7646.0,Burlington,Iowa,Burlington
Kansas,"Topeka, Kansas",2012,,10459.0,Topeka,Kansas,Topeka
Kansas,"Newton, Kansas",2012,,14131.0,Newton,Kansas,Newton
Kansas,"Lawrence, Kansas",2012,,6608.0,Lawrence,Kansas,Lawrence
Kansas,"Hutchinson, Kansas",2012,,5239.0,Hutchinson,Kansas,Hutchinson
Kansas,"Garden City, Kansas",2012,,7887.0,Garden City,Kansas,Garden City
Kansas,"Dodge City, Kansas",2012,,5174.0,Dodge City,Kansas,Dodge City
Kentucky,"South Shore-South Portsmouth, Kentucky",2012,,1037.0,South Shore-South Portsmouth,Kentucky,South Shore-South Portsmouth
Kentucky,"Maysville, Kentucky",2012,,2507.0,Maysville,Kentucky,Maysville
Kentucky,"Fulton, Kentucky",2012,,4038.0,Fulton,Kentucky,Fulton
Kentucky,"Ashland, Kentucky",2012,,2999.0,Ashland,Kentucky,Ashland
Louisiana,"Slidell, Louisiana",2012,,7101.0,Slidell,Louisiana,Slidell
Louisiana,"Schriever, Louisiana",2012,,1755.0,Schriever,Louisiana,Schriever
Louisiana,"New Orleans, Louisiana",2012,,222828.0,New Orleans,Louisiana,New Orleans
Louisiana,"New Iberia, Louisiana",2012,,1670.0,New Iberia,Louisiana,New Iberia
Louisiana,"Lake Charles, Louisiana",2012,,3438.0,Lake Charles,Louisiana,Lake Charles
Louisiana,"Lafayette, Louisiana",2012,,5969.0,Lafayette,Louisiana,Lafayette
Louisiana,"Hammond, Louisiana",2012,,15212.0,Hammond,Louisiana,Hammond
Maine,"Wells, Maine",2012,,55503.0,Wells,Maine,Wells
