state,station,fiscal_year,note,value,station_name,group,subgroup
Alabama,"Tuscaloosa, Alabama",2022,,5389.0,Tuscaloosa,Alabama,Tuscaloosa
Alabama,"Birmingham, Alabama",2022,,21211.0,Birmingham,Alabama,Birmingham
Alabama,"Anniston, Alabama",2022,,2486.0,Anniston,Alabama,Anniston
Arizona,"Yuma, Arizona",2022,,4403.0,Yuma,Arizona,Yuma
Arizona,"Winslow, Arizona",2022,,2652.0,Winslow,Arizona,Winslow
Arizona,"Tucson, Arizona",2022,,19115.0,Tucson,Arizona,Tucson
Arizona,"Maricopa, Arizona",2022,,10520.0,Maricopa,Arizona,Maricopa
Arizona,"Kingman, Arizona",2022,,6919.0,Kingman,Arizona,Kingman
Arizona,"Flagstaff, Arizona",2022,,25499.0,Flagstaff,Arizona,Flagstaff
Arizona,"Benson, Arizona",2022,,1743.0,Benson,Arizona,Benson
Arkansas,"Walnut Ridge, Arkansas",2022,,2340.0,Walnut Ridge,Arkansas,Walnut Ridge
Arkansas,"Texarkana, Arkansas",2022,,4814.0,Texarkana,Arkansas,Texarkana
Arkansas,"Malvern, Arkansas",2022,,1558.0,Malvern,Arkansas,Malvern
Arkansas,"Little Rock, Arkansas",2022,,13492.0,Little Rock,Arkansas,Little Rock
Arkansas,"Hope, Arkansas",2022,,1322.0,Hope,Arkansas,Hope
Arkansas,"Arkadelphia, Arkansas",2022,,956.0,Arkadelphia,Arkansas,Arkadelphia
California,"Wasco, California",2022,,22781.0,Wasco,California,Wasco
California,"Victorville, California",2022,,4554.0,Victorville,California,Victorville
California,"Ventura, California",2022,,43659.0,Ventura,California,Ventura
California,"Van Nuys, California",2022,,44026.0,Van Nuys,California,Van Nuys
California,"Turlock-Denair, California",2022,,21437.0,Turlock-Denair,California,Turlock-Denair
California,"Truckee, California",2022,,9997.0,Truckee,California,Truckee
California,"Suisun-Fairfield, California",2022,,38530.0,Suisun-Fairfield,California,Suisun-Fairfield
California,"Stockton (San Joaquin St.), California",2022,,212527.0,Stockton (San Joaquin St.),California,Stockton (San Joaquin St.)
California,"Stockton (Downtown), California",2022,,2824.0,Stockton (Downtown),California,Stockton (Downtown)
California,"Solana Beach, California",2022,,176089.0,Solana Beach,California,Solana Beach
California,"Simi Valley, California",2022,,26689.0,Simi Valley,California,Simi Valley
California,"Santa Clara (University), California",2022,,21489.0,Santa Clara (University),California,Santa Clara (University)
California,"Santa Barbara, California",2022,,213697.0,Santa Barbara,California,Santa Barbara
California,"Santa Ana, California",2022,,95854.0,Santa Ana,California,Santa Ana
California,"San Luis Obispo, California",2022,,75279.0,San Luis Obispo,California,San Luis Obispo
California,"San Juan Capistrano, California",2022,,117526.0,San Juan Capistrano,California,San Juan Capistrano
California,"San Jose, California",2022,,110949.0,San Jose,California,San Jose
California,"San Diego, California",2022,,443091.0,San Diego,California,San Diego
California,"San Diego-Old Town, California",2022,,253617.0,San Diego-Old Town,California,San Diego-Old Town
California,"San Clemente Pier, California",2022,,14107.0,San Clemente Pier,California,San Clemente Pier
California,"San Bernardino, California",2022,,6855.0,San Bernardino,California,San Bernardino
California,"Salinas, California",2022,,16160.0,Salinas,California,Salinas
California,"Sacramento, California",2022,,456647.0,Sacramento,California,Sacramento
California,"Roseville, California",2022,,21022.0,Roseville,California,Roseville
California,"Rocklin, California",2022,,5031.0,Rocklin,California,Rocklin
California,"Riverside, California",2022,,6947.0,Riverside,California,Riverside
California,"Richmond, California",2022,,114929.0,Richmond,California,Richmond
California,"Redding, California",2022,,6625.0,Redding,California,Redding
California,"Pomona, California",2022,,1131.0,Pomona,California,Pomona
California,"Paso Robles, California",2022,,8197.0,Paso Robles,California,Paso Robles
California,"Palm Springs, California",2022,,2224.0,Palm Springs,California,Palm Springs
California,"Oxnard, California",2022,,59653.0,Oxnard,California,Oxnard
California,"Ontario, California",2022,,3374.0,Ontario,California,Ontario
California,"Oceanside, California",2022,,185734.0,Oceanside,California,Oceanside
California,"Oakland, California",2022,,154266.0,Oakland,California,Oakland
California,"Oakland Coliseum, California",2022,,23557.0,Oakland Coliseum,California,Oakland Coliseum
California,"Needles, California",2022,,4667.0,Needles,California,Needles
California,"Moorpark, California",2022,,16960.0,Moorpark,California,Moorpark
California,"Modesto, California",2022,,76286.0,Modesto,California,Modesto
California,"Merced, California",2022,,94304.0,Merced,California,Merced
