state,station,fiscal_year,note,value,station_name,group,subgroup
Alabama,"Tuscaloosa, Alabama",2015,,10922.0,Tuscaloosa,Alabama,Tuscaloosa
Alabama,"Birmingham, Alabama",2015,,44985.0,Birmingham,Alabama,Birmingham
Alabama,"Anniston, Alabama",2015,,5085.0,Anniston,Alabama,Anniston
Arizona,"Yuma, Arizona",2015,,4296.0,Yuma,Arizona,Yuma
Arizona,"Winslow, Arizona",2015,,5074.0,Winslow,Arizona,Winslow
Arizona,"Williams Junction, Arizona",2015,,6738.0,Williams Junction,Arizona,Williams Junction
Arizona,"Tucson, Arizona",2015,,28682.0,Tucson,Arizona,Tucson
Arizona,"Maricopa, Arizona",2015,,12162.0,Maricopa,Arizona,Maricopa
Arizona,"Kingman, Arizona",2015,,10794.0,Kingman,Arizona,Kingman
Arizona,"Flagstaff, Arizona",2015,,40800.0,Flagstaff,Arizona,Flagstaff
Arizona,"Benson, Arizona",2015,,2073.0,Benson,Arizona,Benson
Arkansas,"Walnut Ridge, Arkansas",2015,,3738.0,Walnut Ridge,Arkansas,Walnut Ridge
Arkansas,"Texarkana, Arkansas",2015,,6894.0,Texarkana,Arkansas,Texarkana
Arkansas,"Malvern, Arkansas",2015,,1760.0,Malvern,Arkansas,Malvern
Arkansas,"Little Rock, Arkansas",2015,,19676.0,Little Rock,Arkansas,Little Rock
Arkansas,"Hope, Arkansas",2015,,1612.0,Hope,Arkansas,Hope
Arkansas,"Arkadelphia, Arkansas",2015,,1308.0,Arkadelphia,Arkansas,Arkadelphia
California,"Moreno Valley, California",2015,"Riverside, California",12837.0,Moreno Valley,California,Moreno Valley
California,"Wasco, California",2015,,39678.0,Wasco,California,Wasco
California,"Victorville, California",2015,,7266.0,Victorville,California,Victorville
California,"Ventura, California",2015,,61812.0,Ventura,California,Ventura
California,"Van Nuys, California",2015,,80957.0,Van Nuys,California,Van Nuys
California,"Turlock-Denair, California",2015,,29791.0,Turlock-Denair,California,Turlock-Denair
California,"Truckee, California",2015,,10846.0,Truckee,California,Truckee
California,"Suisun-Fairfield, California",2015,,164288.0,Suisun-Fairfield,California,Suisun-Fairfield
California,"Stockton (San Joaquin St.), California",2015,,293861.0,Stockton (San Joaquin St.),California,Stockton (San Joaquin St.)
California,"Stockton (Downtown), California",2015,,40428.0,Stockton (Downtown),California,Stockton (Downtown)
California,"Sorrento Valley, California",2015,,16523.0,Sorrento Valley,California,Sorrento Valley
California,"Solana Beach, California",2015,,408248.0,Solana Beach,California,Solana Beach
California,"Simi Valley, California",2015,,49756.0,Simi Valley,California,Simi Valley
